"time","order","weather"
"Mon, 18 Apr 2016 02:00 PM EDT","104","Mostly Cloudy"
"Mon, 18 Apr 2016 02:00 PM EDT","105","Mostly Cloudy"
"Mon, 18 Apr 2016 02:00 PM EDT","106","Mostly Cloudy"
"Mon, 18 Apr 2016 02:00 PM EDT","107","Mostly Cloudy"
"Mon, 18 Apr 2016 02:00 PM EDT","108","Mostly Cloudy"
"Mon, 18 Apr 2016 02:00 PM EDT","109","Mostly Cloudy"
"Mon, 18 Apr 2016 05:00 PM EDT","122","Mostly Cloudy"
"Mon, 18 Apr 2016 05:00 PM EDT","123","Mostly Cloudy"
"Mon, 18 Apr 2016 05:00 PM EDT","124","Mostly Cloudy"
"Mon, 18 Apr 2016 05:00 PM EDT","125","Mostly Cloudy"
"Mon, 18 Apr 2016 05:00 PM EDT","126","Mostly Cloudy"
"Mon, 18 Apr 2016 05:00 PM EDT","127","Mostly Cloudy"
"Mon, 18 Apr 2016 10:00 AM EDT","80","Mostly Cloudy"
"Mon, 18 Apr 2016 10:00 AM EDT","81","Mostly Cloudy"
"Mon, 18 Apr 2016 10:00 AM EDT","82","Mostly Cloudy"
"Mon, 18 Apr 2016 10:00 AM EDT","83","Mostly Cloudy"
"Mon, 18 Apr 2016 10:00 AM EDT","84","Mostly Cloudy"
"Mon, 18 Apr 2016 10:00 AM EDT","85","Mostly Cloudy"
"Mon, 18 Apr 2016 12:00 AM EDT","20","Clear"
"Mon, 18 Apr 2016 12:00 AM EDT","21","Clear"
"Mon, 18 Apr 2016 12:00 AM EDT","22","Clear"
"Mon, 18 Apr 2016 12:00 AM EDT","23","Clear"
"Mon, 18 Apr 2016 12:00 AM EDT","24","Clear"
"Mon, 18 Apr 2016 06:00 AM EDT","55","Mostly Clear"
"Mon, 18 Apr 2016 06:00 AM EDT","56","Mostly Clear"
"Mon, 18 Apr 2016 06:00 AM EDT","57","Mostly Clear"
"Mon, 18 Apr 2016 06:00 AM EDT","58","Mostly Clear"
"Mon, 18 Apr 2016 06:00 AM EDT","59","Mostly Clear"
"Mon, 18 Apr 2016 06:00 AM EDT","60","Mostly Clear"
"Mon, 18 Apr 2016 01:00 AM EDT","25","Clear"
"Mon, 18 Apr 2016 01:00 AM EDT","26","Clear"
"Mon, 18 Apr 2016 01:00 AM EDT","27","Clear"
"Mon, 18 Apr 2016 01:00 AM EDT","28","Clear"
"Mon, 18 Apr 2016 01:00 AM EDT","29","Clear"
"Mon, 18 Apr 2016 01:00 AM EDT","30","Clear"
"Sun, 17 Apr 2016 11:00 PM EDT","14","Clear"
"Sun, 17 Apr 2016 11:00 PM EDT","15","Clear"
"Sun, 17 Apr 2016 11:00 PM EDT","16","Clear"
"Sun, 17 Apr 2016 11:00 PM EDT","17","Clear"
"Sun, 17 Apr 2016 11:00 PM EDT","18","Clear"
"Sun, 17 Apr 2016 11:00 PM EDT","19","Clear"
"Mon, 18 Apr 2016 04:00 AM EDT","44","Clear"
"Mon, 18 Apr 2016 04:00 AM EDT","45","Clear"
"Mon, 18 Apr 2016 04:00 AM EDT","46","Clear"
"Mon, 18 Apr 2016 04:00 AM EDT","47","Clear"
"Mon, 18 Apr 2016 04:00 AM EDT","48","Clear"
"Mon, 18 Apr 2016 06:00 PM EDT","128","Mostly Cloudy"
"Mon, 18 Apr 2016 06:00 PM EDT","129","Mostly Cloudy"
"Mon, 18 Apr 2016 06:00 PM EDT","130","Mostly Cloudy"
"Mon, 18 Apr 2016 06:00 PM EDT","131","Mostly Cloudy"
"Mon, 18 Apr 2016 06:00 PM EDT","132","Mostly Cloudy"
"Mon, 18 Apr 2016 06:00 PM EDT","133","Mostly Cloudy"
"Mon, 18 Apr 2016 04:00 PM EDT","117","Mostly Cloudy"
"Mon, 18 Apr 2016 04:00 PM EDT","118","Mostly Cloudy"
"Mon, 18 Apr 2016 04:00 PM EDT","119","Mostly Cloudy"
"Mon, 18 Apr 2016 04:00 PM EDT","120","Mostly Cloudy"
"Mon, 18 Apr 2016 04:00 PM EDT","121","Mostly Cloudy"
"Mon, 18 Apr 2016 05:00 AM EDT","49","Clear"
"Mon, 18 Apr 2016 05:00 AM EDT","50","Clear"
"Mon, 18 Apr 2016 05:00 AM EDT","51","Clear"
"Mon, 18 Apr 2016 05:00 AM EDT","52","Clear"
"Mon, 18 Apr 2016 05:00 AM EDT","53","Clear"
"Mon, 18 Apr 2016 05:00 AM EDT","54","Clear"
"Mon, 18 Apr 2016 03:00 AM EDT","38","Clear"
"Mon, 18 Apr 2016 03:00 AM EDT","39","Clear"
"Mon, 18 Apr 2016 03:00 AM EDT","40","Clear"
"Mon, 18 Apr 2016 03:00 AM EDT","41","Clear"
"Mon, 18 Apr 2016 03:00 AM EDT","42","Clear"
"Mon, 18 Apr 2016 03:00 AM EDT","43","Clear"
"Mon, 18 Apr 2016 07:00 PM EDT","134","Mostly Cloudy"
"Mon, 18 Apr 2016 07:00 PM EDT","135","Mostly Cloudy"
"Mon, 18 Apr 2016 07:00 PM EDT","136","Mostly Cloudy"
"Mon, 18 Apr 2016 07:00 PM EDT","137","Mostly Cloudy"
"Mon, 18 Apr 2016 07:00 PM EDT","138","Mostly Cloudy"
"Mon, 18 Apr 2016 03:00 PM EDT","110","Mostly Cloudy"
"Mon, 18 Apr 2016 03:00 PM EDT","111","Mostly Cloudy"
"Mon, 18 Apr 2016 03:00 PM EDT","112","Mostly Cloudy"
"Mon, 18 Apr 2016 03:00 PM EDT","113","Mostly Cloudy"
"Mon, 18 Apr 2016 03:00 PM EDT","114","Mostly Cloudy"
"Mon, 18 Apr 2016 03:00 PM EDT","115","Mostly Cloudy"
"Mon, 18 Apr 2016 03:00 PM EDT","116","Mostly Cloudy"
"Sun, 17 Apr 2016 10:00 PM EDT","8","Clear"
"Sun, 17 Apr 2016 10:00 PM EDT","9","Clear"
"Sun, 17 Apr 2016 10:00 PM EDT","10","Clear"
"Sun, 17 Apr 2016 10:00 PM EDT","11","Clear"
"Sun, 17 Apr 2016 10:00 PM EDT","12","Clear"
"Sun, 17 Apr 2016 10:00 PM EDT","13","Clear"
"Mon, 18 Apr 2016 11:00 AM EDT","86","Mostly Cloudy"
"Mon, 18 Apr 2016 11:00 AM EDT","87","Mostly Cloudy"
"Mon, 18 Apr 2016 11:00 AM EDT","88","Mostly Cloudy"
"Mon, 18 Apr 2016 11:00 AM EDT","89","Mostly Cloudy"
"Mon, 18 Apr 2016 11:00 AM EDT","90","Mostly Cloudy"
"Mon, 18 Apr 2016 11:00 AM EDT","91","Mostly Cloudy"
"Mon, 18 Apr 2016 07:00 AM EDT","61","Mostly Sunny"
"Mon, 18 Apr 2016 07:00 AM EDT","62","Mostly Sunny"
"Mon, 18 Apr 2016 07:00 AM EDT","63","Mostly Sunny"
"Mon, 18 Apr 2016 07:00 AM EDT","64","Mostly Sunny"
"Mon, 18 Apr 2016 07:00 AM EDT","65","Mostly Sunny"
"Mon, 18 Apr 2016 07:00 AM EDT","66","Mostly Sunny"
"Mon, 18 Apr 2016 07:00 AM EDT","67","Mostly Sunny"
"Mon, 18 Apr 2016 07:00 AM EDT","68","Mostly Sunny"
"Mon, 18 Apr 2016 07:00 AM EDT","69","Mostly Sunny"
"Mon, 18 Apr 2016 07:00 AM EDT","70","Mostly Sunny"
"Mon, 18 Apr 2016 07:00 AM EDT","71","Mostly Sunny"
"Mon, 18 Apr 2016 07:00 AM EDT","72","Mostly Sunny"
"Mon, 18 Apr 2016 07:00 AM EDT","73","Mostly Sunny"
"Mon, 18 Apr 2016 12:00 PM EDT","92","Mostly Cloudy"
"Mon, 18 Apr 2016 12:00 PM EDT","93","Mostly Cloudy"
"Mon, 18 Apr 2016 12:00 PM EDT","94","Mostly Cloudy"
"Mon, 18 Apr 2016 12:00 PM EDT","95","Mostly Cloudy"
"Mon, 18 Apr 2016 12:00 PM EDT","96","Mostly Cloudy"
"Mon, 18 Apr 2016 12:00 PM EDT","97","Mostly Cloudy"
"Mon, 18 Apr 2016 02:00 AM EDT","31","Clear"
"Mon, 18 Apr 2016 02:00 AM EDT","32","Clear"
"Mon, 18 Apr 2016 02:00 AM EDT","33","Clear"
"Mon, 18 Apr 2016 02:00 AM EDT","34","Clear"
"Mon, 18 Apr 2016 02:00 AM EDT","35","Clear"
"Mon, 18 Apr 2016 02:00 AM EDT","36","Clear"
"Mon, 18 Apr 2016 02:00 AM EDT","37","Clear"
"Sun, 17 Apr 2016 09:00 PM EDT","2","Clear"
"Sun, 17 Apr 2016 09:00 PM EDT","3","Clear"
"Sun, 17 Apr 2016 09:00 PM EDT","4","Clear"
"Sun, 17 Apr 2016 09:00 PM EDT","5","Clear"
"Sun, 17 Apr 2016 09:00 PM EDT","6","Clear"
"Sun, 17 Apr 2016 09:00 PM EDT","7","Clear"
"Mon, 18 Apr 2016 09:00 AM EDT","74","Partly Cloudy"
"Mon, 18 Apr 2016 09:00 AM EDT","75","Partly Cloudy"
"Mon, 18 Apr 2016 09:00 AM EDT","76","Partly Cloudy"
"Mon, 18 Apr 2016 09:00 AM EDT","77","Partly Cloudy"
"Mon, 18 Apr 2016 09:00 AM EDT","78","Partly Cloudy"
"Mon, 18 Apr 2016 09:00 AM EDT","79","Partly Cloudy"
