16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00:00
4/1/15,0,0,0,0,0,0,0,0,0
4/2/15,0,0,0,0,0,0,0,0,0
4/3/15,0,0,0,0,0,0,0,0,0
4/6/15,0,0,0,0,0,0,0,0,0
4/7/15,0,0,0,1,1,0,0,1,1
4/8/15,0,0,0,0,0,0,0,0,0
4/9/15,0,0,0,0,0,0,0,0,0
4/10/15,0,0,0,0,0,0,0,0,0
4/13/15,0,0,0,0,0,0,0,0,0
4/14/15,0,0,0,0,0,0,0,0,0
4/15/15,0,0,0,0,0,0,0,0,0
4/16/15,0,0,0,0,0,0,0,0,0
4/17/15,0,0,0,0,0,0,0,0,0
4/20/15,0,0,0,0,0,0,0,0,0
4/21/15,0,0,0,0,0,0,0,0,0
4/22/15,0,1,1,1,0,0,0,0,0
4/23/15,0,0,0,0,0,0,0,0,0
4/24/15,0,0,0,0,0,0,0,0,0
4/27/15,0,0,0,0,0,0,0,0,0
4/28/15,0,0,0,0,0,0,0,0,0
4/29/15,0,0,0,0,0,0,0,0,0
4/30/15,0,0,0,0,0,0,0,0,0
